instagram_account,username,comment
https://www.instagram.com/nangin_andre,nangin_andre," Puji Tuhan , Kami bangga punya presiden seperti pak Prabowo Subianto"
https://www.instagram.com/nangin_andre,ennyradite,"Coba pendukung 02 lihat, Prabowo adalah bagian dari Jokowi.. Kalau beras mahal sekarang ya otomatis dilanjutkan.. Masih aja teriak2 belum dilantik"
https://www.instagram.com/nangin_andre,raylala82,SEHAT SELALU YA PAK PRABOWO .. KAMI RAKYAT KECIL BERHARAP KELAK PAK PRABOWO BISA MELANJUTKAN KINERJA BAPAK JOKOWI. TUHAN MEMBERKATI BAPAK
https://www.instagram.com/nangin_andre,fahrudiniwan,Yaelah yg dukung 02 ntar juga ngerasain dampaknya dan PASTI MENYESAL
https://www.instagram.com/2person_30,adminaahhh,Mantap... BBM naik buat makan siang. Imbasnya semua harga naik buat makan siang gratis seharga 15rb. Btw 15rb itu dari pusatnya sampe ke anak berpa ya? Ingat cerita dana buat stunting? Dari pusat 10m nyampe ke rakyat 2m. Tp pendukung 02 mana paham
https://www.instagram.com/2person_30,kurniagunawandarwis,"Semoga nantinya tidak kecewakan yaaa ?? Kemenangan yang sudah di rencanakan ya pak , sudah menghalalkan segala cara"
https://www.instagram.com/2person_30,sadipranata207,Palingan dua tahun habis itu dikudeta GIBRAN geng jokowi....yah mirip bu mega dan alm gusdur
https://www.instagram.com/2person_30,rich_ard378,Selamat pak prabowo sudah siap jadi bonekanya pak jokowi
https://www.instagram.com/2person_30,irsyadiirsyad387,"Ganti presiden udah kesekian kalinya. Kita liat apakah nanti masih ada rakyat kelaparan, sekolah butut, dan jembatan ambruk??"
https://www.instagram.com/2person_30,joko.priono.752,Selamat Pak Prabowo dan Gibran Presiden dan wakil presiden RI 1 2024 Lanjut dan usut Korupsi pa
https://www.instagram.com/2person_30,sisiltamar,"Selamat menunaikan tugas yang berat ini di pundak bapak berdua, "
https://www.instagram.com/2person_30,rlin__poetri,Mantap sekali melihat bpk.Prabowo dan bpk.Gibran akhirnya menjadi pemimpin bangsa Negara kita Negara Republik Indonesia yg tercinta ini..Selamat bertugas dan selamat berkarya untuk bangsa kita yg tercinta ini..Tuhan memberkati dan menyertai bapak berdua
https://www.instagram.com/2person_30,japrakhos,Kasih prabowo kekuasaan kalau baik kita bersyukur kalau buruk negara ini jadinya kita kuliti satu2 yg all in all in
https://www.instagram.com/2person_30,"vivie_11
 ","Kita cuma nontonin aja ke depannya gmn, tinggal tunggu janji2 saat kampanye nya"
https://www.instagram.com/2person_30,otwmakkah,"bagus kita dukung, ga bagus kita kritik. fair enough"
https://www.instagram.com/2person_30,harisjr__,Semoga Amanah. Hukum ditegakan se adil adilnya
https://www.instagram.com/2person_30,rianti_lopez,Alhamdulillah wa syukurillah...semoga makin jaya Indonesia ku
https://www.instagram.com/2person_30,kabar_net,"Ya , apapun putusan MK kita hormati dan terima"
https://www.instagram.com/2person_30,syat.hori,"Gak usah bangga dengan kemenangan curang, Di manipulasi demi sang anak sulung melanjutkan duduk di kursi singgasananya"
https://www.instagram.com/2person_30,fa_rida5185,"Berpikirlah yg positif 02 Jendral Prabowo unggul menang karna pilihan rakyat, kenapa dibilang curang kan dimasing masing TPS ada saksi2"
https://www.instagram.com/2person_30,yundanuri,terserah siapa aja presiden nya klau ga cri uang sndiri mh ga bkalan mkan cma satu jangan naik pajak bgi saya mh berat
https://www.instagram.com/2person_30,dewi.kartik4,ini lah sosok presiden dgn rekam jejak dan lewat proses yg cacat hukum
https://www.instagram.com/2person_30,borwichbrown,"Kita liat indonesia 5 tahun kedepan, ada perubahan atau tidak biarkan waktu yang menjawab, mudah mudahan bisa maju indonesia di tangan paslon 02 ini"
https://www.instagram.com/2person_30,romadhonia,Jujur kasian dgn Pak Prabowo Subianto. Misal jadi presiden pun kesannya tetep cm Presiden Boneka aja
https://www.instagram.com/2person_30,kucing_meong818,Gpp prabowo yg Presiden. Asal bukan Abah yang paling ahli surga.
https://www.instagram.com/2person_30,martkosibuea,Amin amin bapak panutanku 2024
https://www.instagram.com/2person_30,rahma_pratiwi4,"Habis dilantik dikasuskan ""food estate dan alutsista"" setelah itu gibren jadi RI 1"
https://www.instagram.com/2person_30,tukang.nyender,pendukung dukung 02  juga ngerasain dampaknya dan PASTI MENYESAl
https://www.instagram.com/2person_30,toniaries,semoga semua janji kampanye terealisasi ya pak
https://www.instagram.com/2person_30,donj4267," semoga setelah dilantik bisa amanah untuk jadi presiden RI ke 8 , sehat sehat pak prabowo"
https://www.instagram.com/2person_30,sun_risk,"Setidaknya next pemilu tdk ada gambar anda lagi, dan semoga dinasti politik tidak tumbuh. Krn jika tumbuh, Indonesia masih menganut feodalisme, Demokrasi hanya jargon."
https://www.instagram.com/2person_30,salman_ackermanz,"Beliau mengajariku apa itu pengorbanan,apa itu keikhlasan,apa itu cinta yang tulus bagi bangsa Ini"
https://www.instagram.com/2person_30,sugiyantobram,"Semangat, sehat terus pak Prabowo ... presiden ku"
https://www.instagram.com/2person_30,kafkalavista,Selamat Datang Di Rezim Orde Baru. 
https://www.instagram.com/2person_30,muhammadirwan_lina,"Berbicara kecurangan,,,, jangan hanya menyudutkan satu pihak saja."
https://www.instagram.com/2person_30,pap_noe,"Jendral bintang 4 , penghargaan buat pelanggar HAM, dasar presiden Konoha"
https://www.instagram.com/2person_30,jalanhidup0580,"Siap"" pak abis di Lantik trus di panggil sama yg maha kuasa"
https://www.instagram.com/2person_30,san_gohan1,LANJUT RAKYAT HAMPIR 60% SIAP MENGAWAL
