publishedAt,authorDisplayName,textDisplay,like_count,likeCount
2024-03-02T12:17:55Z,@Ikanmujair11,"Gimana gak yakin😏kan dengan kecurangan yg udah berhasil dia perbuat itu lah, maka nya dia bisa SE yakin itu, bakal jadi presiden 2024 2029 nanti😏",2.0,
2024-03-02T12:14:02Z,@_Abu_Luqman,selama 5 tahun kita akan tertawa terus karena kelucuannya,8.0,
2024-03-02T12:13:24Z,@sitishabariyah2986,Kan.emang dari dulu dia.pingin.jd.presden,0.0,
2024-03-02T12:12:38Z,@sitishabariyah2986,"Ya lah ngaku aja
Ntar ga ditanggepin prabowo.ngamuk.lgi he heeh.hee",1.0,
2024-03-02T12:11:17Z,@onksadewoonk7041,Kerjaannya marah2😂😂😂,1.0,
2024-03-02T12:10:44Z,@StrangerAsing,Liat komentar disini kaya sarangnya orang berpenyakit hati..  kalah ya kalah aja,0.0,
2024-03-02T12:10:14Z,@user-wy4yl8hy7s,Haa ngimpi,1.0,
2024-03-02T12:10:03Z,@3bersaudarabersaudara520,Jangan sampai 2014 & 2019 terulang lagi pak😢,1.0,
2024-03-02T12:08:39Z,@seniviral_channel,Hormat pak.. Lanjutkan,4.0,
2024-03-02T11:52:46Z,@cireboncity4943,Ga ada malunya liat kecurangan di mana2 pak...belajar malu woyyyy,2.0,
2024-03-02T11:48:02Z,@user-wx4xl7vg6i,Atur aj dgn kecurangan km,0.0,
2024-03-02T11:37:21Z,@idonesiaidonesia8957,BPK Prabowo layak jadi pemimpin/presiden Republik Indonesia,6.0,
2024-05-26T03:47:08Z,@Jembut-pj1xh,Haduh ancur dah Indonesia ,1.0,
2024-05-18T15:12:03Z,@user-ms8bq1vr5x,"Nikmati lah 2 tahun anda pak presiden, Wakil nya Nanti yg akan naik. Kejadian jaman Ahok Jarot akan terulang",0.0,
2024-05-11T11:40:17Z,@user-el7ql5io1k,Ok untuk presiden tapi tidak untuk wakil presiden,1.0,
2024-05-11T11:39:03Z,@user-el7ql5io1k,Gibran tidak pantas jadi wakil presiden. Harus di ganti.,1.0,
2024-05-06T08:28:47Z,@Asmar00-zi2zu,Tidak akan maju rakyat jika menang nya menipu yg maju penipu rakyat makin banyak,0.0,
2024-05-03T19:19:22Z,@mohammadsahir8702,Prabowo Dan gibran cuma presiden Dan wapres pilihan kpu bawaslu Dan mk. Prabowo Dan gibran presiden Dan wapres Tidak sah.,0.0,
2024-04-30T17:04:40Z,@franskhadavi919,Bocah ingusan yg akan menjadi tertawaan sepanjang waktu,0.0,
2024-04-25T00:35:58Z,@realmeere6362,Alhamdulillah kami rakyat Indonesia selesai mengantarkan pak Prabowo ke kursi presiden kami rakyat Indonesia menantikan janji babpak utk menambah gaji guru 2juta rupiah per guru pak kami sangat mengharapkan itu.,0.0,
2024-04-23T12:17:10Z,@user-ru5eg1ed1m,Bila Mas Gibran menjadi presiden adalah presiden  termuda dari presiden di seluruh dunia.,0.0,
2024-04-22T19:02:33Z,@user-gz2uf2oi3h,tolong pa Prabowo Anis korupsi nanti kalo udah dilantik harus di usut,0.0,
2024-04-22T17:31:55Z,@Suprianto-xp3or,Bahagia bgt pilihan saya menang,0.0,
